Date,Gold Price
2012-02-17,572000.0
2012-02-18,572000.0
2012-02-19,572000.0
2012-02-20,576000.0
2012-02-21,576000.0
2012-02-22,581000.0
2012-02-23,588000.0
2012-02-24,589000.0
2012-02-25,589000.0
2012-02-26,589000.0
2012-02-27,588000.0
2012-02-28,588000.0
2012-02-29,592000.0
2012-03-01,578000.0
2012-03-02,579000.0
2012-03-03,579000.0
2012-03-04,579000.0
2012-03-05,578000.0
2012-03-06,577000.0
2012-03-07,573000.0
2012-03-08,575000.0
2012-03-09,577000.0
2012-03-10,577000.0
2012-03-11,577000.0
2012-03-12,578000.0
2012-03-13,576000.0
2012-03-14,571000.0
2012-03-15,567000.0
2012-03-16,570000.0
2012-03-17,570000.0
2012-03-18,570000.0
2012-03-19,571000.0
2012-03-20,571500.0
2012-03-21,569000.0
2012-03-22,570000.0
2012-03-23,570000.0
2012-03-24,570000.0
2012-03-25,570000.0
2012-03-26,573000.0
2012-03-27,579000.0
2012-03-28,579000.0
2012-03-29,576000.0
2012-03-30,576000.0
2012-03-31,576000.0
2012-04-01,576000.0
2012-04-02,579000.0
2012-04-03,579000.0
2012-04-04,574000.0
2012-04-05,568000.0
2012-04-06,568000.0
2012-04-07,568000.0
2012-04-08,568000.0
2012-04-09,574000.0
2012-04-10,574000.0
2012-04-11,574000.0
2012-04-12,575000.0
2012-04-13,577000.0
2012-04-14,577000.0
2012-04-15,577000.0
2012-04-16,568000.0
2012-04-17,567000.0
2012-04-18,567000.0
2012-04-19,570000.0
2012-04-20,570000.0
2012-04-21,570000.0
2012-04-22,570000.0
2012-04-23,564500.0
2012-04-24,564500.0
2012-04-25,565000.0
2012-04-26,565000.0
2012-04-27,565500.0
2012-04-28,565500.0
2012-04-29,565500.0
2012-04-30,565000.0
2012-05-01,563000.0
2012-05-02,559000.0
2012-05-03,555000.0
2012-05-04,555000.0
2012-05-05,555000.0
2012-05-06,555000.0
2012-05-07,558000.0
2012-05-08,558000.0
2012-05-09,554000.0
2012-05-10,552000.0
2012-05-11,553000.0
2012-05-12,553000.0
2012-05-13,553000.0
2012-05-14,553000.0
2012-05-15,553000.0
2012-05-16,549500.0
2012-05-17,549500.0
2012-05-18,549500.0
